airfoil_name,airfoil_file,reynolds_number,angle_of_attack,cl,cd,cm,cl_cd_ratio
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-30,[-0.97296378],[0.31758298],[0.12041212],[-3.06365218]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-29,[-0.94536505],[0.30983473],[0.11239112],[-3.05119139]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-28,[-0.91632062],[0.30177108],[0.10404346],[-3.03647594]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-27,[-0.88594369],[0.29343732],[0.09541552],[-3.0191923]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-26,[-0.85437423],[0.28487173],[0.08656655],[-2.99915415]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-25,[-0.8217778],[0.27610178],[0.07756927],[-2.97635827]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-24,[-0.78834006],[0.26714082],[0.06850833],[-2.95102806]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-23,[-0.75425641],[0.25798692],[0.0594755],[-2.92362263]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-22,[-0.71971801],[0.24862453],[0.05056086],[-2.8947989]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-21,[-0.68489855],[0.2390281],[0.04184067],[-2.86534745]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-20,[-0.64994925],[0.22916438],[0.03336528],[-2.83617048]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-19,[-0.6150119],[0.21899022],[0.02515214],[-2.80839887]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-18,[-0.58025952],[0.20844679],[0.01718945],[-2.78372972]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-17,[-0.54596837],[0.19745581],[0.00945301],[-2.76501546]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-16,[-0.51260916],[0.18592717],[0.00193402],[-2.75704273]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-15,[-0.480913],[0.17378903],[-0.00533101],[-2.76722308]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-14,[-0.45183519],[0.16104825],[-0.01224017],[-2.80558895]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-13,[-0.42639263],[0.14786296],[-0.01861864],[-2.88370141]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-12,[-0.40560149],[0.13457382],[-0.02420052],[-3.01397025]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-11,[-0.39104554],[0.12168119],[-0.02857527],[-3.21368919]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-10,[-0.38686359],[0.10965875],[-0.0312969],[-3.52788619]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-9,[-0.40380604],[0.09779695],[-0.03274394],[-4.12902494]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-8,[-0.45365303],[0.08192449],[-0.03456007],[-5.5374529]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-7,[-0.54013747],[0.04986408],[-0.04471309],[-10.83219647]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-6,[-0.49337126],[0.03336283],[-0.04336839],[-14.78804979]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-5,[-0.37818946],[0.02734316],[-0.04704969],[-13.83122661]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-4,[-0.214947],[0.02299111],[-0.05922538],[-9.34913559]
